Manufacturer|Product Name|Size|itemType|SKU|BasePrice
Zatarains|Jambalaya Rice Mix|12 oz|Rice/Rice Mix|42081001|$2.49
Zatarains|Jambalaya Rice Mix|8 oz|Rice/Rice Mix|42082001|$1.79
Yucatan|Guacamole Regular|8 oz||42083001|$3.99
Yuban|Coffee Original Blend|12 oz|Coffee/Creamer|42084001|$3.99
Yoplait|GoGurt Variety Pack|8 ct|Yogurt|42085001|$2.99
Wishbone|Italian Dressing|16 oz|Salad Dressing|42086001|$2.00
White Castle|Cheeseburger Heat & Serve Sliders|29.28 oz||42087001|$11.59
Whiskas|Choice Cuts Poultry|36 oz|Pet Food|42088001|$4.99
Welchs|Farmers Pick Concord Grape|46 oz||42089001|$3.59
Welchs|Juice Red Grape|64 oz|Juice|42090001|$4.79
Weetabix|Cereal Whole Grain Biscuit|15 oz|Cereal|42091001|$6.99
Velveeta|Shells & Cheese Microwave Cup|2.39 oz|Mac & Cheese|42092001|$1.00
Velveeta|Shells & Cheese Original|12 oz|Mac & Cheese|42093001|$2.49
V8|Splash Berry Blend|64 oz|Juice|42094001|$2.99
V8|Splash Mango Peach|64 oz|Juice|42095001|$2.99
V8|V-Fusion Berry|8 pkg|Juice|42096001|$3.49
V8|V-Fusion Pomegranate Blueberry|46 oz|Juice|42097001|$3.99
V8|V-Fusion Refreshers Peach Strawberry|46 oz|Juice|42098001|$3.49
Uncle Sam|Whole Grain Original Cereal|13 oz|Cereal|42099001|$2.50
Turkey Hill|Iced Tea Lemon|128 oz||42100001|$2.99
Tropicana|Orange Juice Some Pulp|89 oz|Juice|42101001|$7.29
Tropicana|Trop50 Calcium|89 oz|Juice|42102001|$7.29
Tri-State|Tri-State Almonds |15.5|Nuts|42103001|$1.54
Tri-State|Tri-State Asparagus |14.8|Fresh Vegetables|42104001|$0.78
Tri-State|Tri-State Baby Onion |11.8|Fresh Vegetables|42105001|$2.62
Tri-State|Tri-State Beets |19.6|Fresh Vegetables|42106001|$3.42
Tri-State|Tri-State Broccoli |8.3|Fresh Vegetables|42107001|$1.34
Tri-State|Tri-State Canned Peanuts |18.2|Nuts|42108001|$0.85
Tri-State|Tri-State Cantelope |16|Fresh Fruit|42109001|$2.57
Tri-State|Tri-State Cauliflower |5.63|Fresh Vegetables|42110001|$0.81
Tri-State|Tri-State Corn on the Cob |10.6|Fresh Vegetables|42111001|$2.80
Tri-State|Tri-State Dried Mushrooms |15.6|Fresh Vegetables|42112001|$2.61
Tri-State|Tri-State Elephant Garlic |15.1|Fresh Vegetables|42113001|$1.71
Tri-State|Tri-State Fancy Plums |10.6|Fresh Fruit|42114001|$2.44
Tri-State|Tri-State Firm Tofu |11.6|Tofu|42115001|$1.66
Tri-State|Tri-State Fresh Lima Beans |17.7|Fresh Vegetables|42116001|$2.43
Tri-State|Tri-State Fuji Apples |11.1|Fresh Fruit|42117001|$2.69
Tri-State|Tri-State Garlic |14.1|Fresh Vegetables|42118001|$0.74
Tri-State|Tri-State Golden Delcious Apples |4.61|Fresh Fruit|42119001|$1.96
Tri-State|Tri-State Green Pepper |10|Fresh Vegetables|42120001|$3.64
Tri-State|Tri-State Honey Dew |7.61|Fresh Fruit|42121001|$1.42
Tri-State|Tri-State Lemons |16.1|Fresh Fruit|42122001|$1.77
Tri-State|Tri-State Lettuce |5.65|Fresh Vegetables|42123001|$3.17
Tri-State|Tri-State Limes |12.6|Fresh Fruit|42124001|$2.40
Tri-State|Tri-State Macintosh Apples |20|Fresh Fruit|42125001|$1.82
Tri-State|Tri-State Mandarin Oranges |13.1|Fresh Fruit|42126001|$2.95
Tri-State|Tri-State Mixed Nuts |7.68|Nuts|42127001|$1.76
Tri-State|Tri-State Mushrooms |15.1|Fresh Vegetables|42128001|$1.16
Tri-State|Tri-State New Potatos |14.5|Fresh Vegetables|42129001|$0.67
Tri-State|Tri-State Onions |13.8|Fresh Vegetables|42130001|$2.53
Tri-State|Tri-State Oranges |7.1|Fresh Fruit|42131001|$3.19
Tri-State|Tri-State Party Nuts |12.6|Nuts|42132001|$2.63
Tri-State|Tri-State Peaches |8.5|Fresh Fruit|42133001|$2.56
Tri-State|Tri-State Plums |7.36|Fresh Fruit|42134001|$2.86
Tri-State|Tri-State Potatos |6.17|Fresh Vegetables|42135001|$1.96
Tri-State|Tri-State Prepared Salad |4.65|Fresh Vegetables|42136001|$2.50
Tri-State|Tri-State Red Delcious Apples |11.6|Fresh Fruit|42137001|$3.61
Tri-State|Tri-State Red Pepper |6.55|Fresh Vegetables|42138001|$3.87
Tri-State|Tri-State Shitake Mushrooms |9.89|Fresh Vegetables|42139001|$2.93
Tri-State|Tri-State Squash |11|Fresh Vegetables|42140001|$1.55
Tri-State|Tri-State Summer Squash |17.2|Fresh Vegetables|42141001|$0.55
Tri-State|Tri-State Sweet Onion |20.3|Fresh Vegetables|42142001|$1.57
Tri-State|Tri-State Sweet Peas |18.8|Fresh Vegetables|42143001|$3.58
Tri-State|Tri-State Tangerines |14.6|Fresh Fruit|42144001|$0.62
Tri-State|Tri-State Tomatos |18.6|Fresh Vegetables|42145001|$2.21
Tri-State|Tri-State Walnuts |16.7|Nuts|42146001|$0.88
Toucan|Toucan Canned Mixed Fruit |15.8|Canned Fruit|42147001|$1.40
Toucan|Toucan Canned Peaches |15.7|Canned Fruit|42148001|$1.38
Tippy Toes|Diapers Size 3|36 ct|Diapers|42149001|$7.99
Tippy Toes|Diapers Size 3|84 ct|Diapers|42150001|$14.99
Tippy Toes|Diapers Size 3|96 ct|Diapers|42151001|$16.99
Tippy Toes|Diapers Size 4|31 ct|Diapers|42152001|$7.99
Tippy Toes|Diapers Size 4|72 ct|Diapers|42153001|$14.99
